date,country,country_code,inflation_hicp
2016-04-01,France,FR,-0.1
2016-05-01,France,FR,0.1
2016-06-01,France,FR,0.3
2016-07-01,France,FR,0.4
2016-08-01,France,FR,0.4
2016-09-01,France,FR,0.5
2016-10-01,France,FR,0.5
2016-11-01,France,FR,0.7
2016-12-01,France,FR,0.8
2017-01-01,France,FR,1.6
2017-02-01,France,FR,1.4
2017-03-01,France,FR,1.4
2017-04-01,France,FR,1.4
2017-05-01,France,FR,0.9
2017-06-01,France,FR,0.8
2017-07-01,France,FR,0.8
2017-08-01,France,FR,1.0
2017-09-01,France,FR,1.1
2017-10-01,France,FR,1.2
2017-11-01,France,FR,1.2
2017-12-01,France,FR,1.2
2018-01-01,France,FR,1.5
2018-02-01,France,FR,1.3
2018-03-01,France,FR,1.7
2018-04-01,France,FR,1.8
2018-05-01,France,FR,2.3
2018-06-01,France,FR,2.3
2018-07-01,France,FR,2.6
2018-08-01,France,FR,2.6
2018-09-01,France,FR,2.5
2018-10-01,France,FR,2.5
2018-11-01,France,FR,2.2
2018-12-01,France,FR,1.9
2019-01-01,France,FR,1.4
2019-02-01,France,FR,1.6
2019-03-01,France,FR,1.3
2019-04-01,France,FR,1.5
2019-05-01,France,FR,1.1
2019-06-01,France,FR,1.4
2019-07-01,France,FR,1.3
2019-08-01,France,FR,1.3
2019-09-01,France,FR,1.1
2019-10-01,France,FR,0.9
2019-11-01,France,FR,1.2
2019-12-01,France,FR,1.6
2020-01-01,France,FR,1.7
2020-02-01,France,FR,1.6
2020-03-01,France,FR,0.8
2020-04-01,France,FR,0.4
2020-05-01,France,FR,0.4
2020-06-01,France,FR,0.2
2020-07-01,France,FR,0.9
2020-08-01,France,FR,0.2
2020-09-01,France,FR,0.0
2020-10-01,France,FR,0.1
2020-11-01,France,FR,0.2
2020-12-01,France,FR,0.0
2021-01-01,France,FR,0.8
2021-02-01,France,FR,0.8
2021-03-01,France,FR,1.4
2021-04-01,France,FR,1.6
2021-05-01,France,FR,1.8
2021-06-01,France,FR,1.9
2021-07-01,France,FR,1.5
2021-08-01,France,FR,2.4
2021-09-01,France,FR,2.7
2021-10-01,France,FR,3.2
2021-11-01,France,FR,3.4
2021-12-01,France,FR,3.4
2022-01-01,France,FR,3.3
2022-02-01,France,FR,4.2
2022-03-01,France,FR,5.1
2022-04-01,France,FR,5.4
2022-05-01,France,FR,5.8
2022-06-01,France,FR,6.5
2022-07-01,France,FR,6.8
2022-08-01,France,FR,6.6
2022-09-01,France,FR,6.2
2022-10-01,France,FR,7.1
2022-11-01,France,FR,7.1
2022-12-01,France,FR,6.7
2023-01-01,France,FR,7.0
2023-02-01,France,FR,7.3
2023-03-01,France,FR,6.7
2023-04-01,France,FR,6.9
2023-05-01,France,FR,6.0
2023-06-01,France,FR,5.3
2023-07-01,France,FR,5.1
2023-08-01,France,FR,5.7
2023-09-01,France,FR,5.7
2023-10-01,France,FR,4.5
2023-11-01,France,FR,3.9
2023-12-01,France,FR,4.1
2024-01-01,France,FR,3.4
2024-02-01,France,FR,3.2
2024-03-01,France,FR,2.4
2024-04-01,France,FR,2.4
2024-05-01,France,FR,2.6
2024-06-01,France,FR,2.5
2024-07-01,France,FR,2.7
2024-08-01,France,FR,2.2
2024-09-01,France,FR,1.4
2024-10-01,France,FR,1.6
2024-11-01,France,FR,1.7
2024-12-01,France,FR,1.8
2025-01-01,France,FR,1.8
2025-02-01,France,FR,0.9
2025-03-01,France,FR,0.9
2025-04-01,France,FR,0.9
2025-05-01,France,FR,0.6
2025-06-01,France,FR,0.9
2025-07-01,France,FR,0.9
2025-08-01,France,FR,0.8
2025-09-01,France,FR,1.1
2025-10-01,France,FR,0.8
2025-11-01,France,FR,0.8
2025-12-01,France,FR,0.7
2015-01-01,Germany,DE,-0.5
2015-02-01,Germany,DE,-0.2
2015-03-01,Germany,DE,0.3
2015-04-01,Germany,DE,1.0
2015-05-01,Germany,DE,1.6
2015-06-01,Germany,DE,1.1
2015-07-01,Germany,DE,1.3
2015-08-01,Germany,DE,1.1
2015-09-01,Germany,DE,0.8
2015-10-01,Germany,DE,1.2
2015-11-01,Germany,DE,0.2
2015-12-01,Germany,DE,0.2
2016-01-01,Germany,DE,0.4
2016-02-01,Germany,DE,-0.1
2016-03-01,Germany,DE,0.1
2016-04-01,Germany,DE,-0.3
2016-05-01,Germany,DE,-0.1
2016-06-01,Germany,DE,0.1
2016-07-01,Germany,DE,0.3
2016-08-01,Germany,DE,0.3
2016-09-01,Germany,DE,0.6
2016-10-01,Germany,DE,0.7
2016-11-01,Germany,DE,0.8
2016-12-01,Germany,DE,1.6
2017-01-01,Germany,DE,1.7
2017-02-01,Germany,DE,2.1
2017-03-01,Germany,DE,1.5
2017-04-01,Germany,DE,2.0
2017-05-01,Germany,DE,1.3
2017-06-01,Germany,DE,1.7
2017-07-01,Germany,DE,1.7
2017-08-01,Germany,DE,1.9
2017-09-01,Germany,DE,1.9
2017-10-01,Germany,DE,1.5
2017-11-01,Germany,DE,1.7
2017-12-01,Germany,DE,1.5
2018-01-01,Germany,DE,1.5
2018-02-01,Germany,DE,1.2
2018-03-01,Germany,DE,1.7
2018-04-01,Germany,DE,1.3
2018-05-01,Germany,DE,2.5
2018-06-01,Germany,DE,2.1
2018-07-01,Germany,DE,2.2
2018-08-01,Germany,DE,2.1
2018-09-01,Germany,DE,2.2
2018-10-01,Germany,DE,2.6
2018-11-01,Germany,DE,2.2
2018-12-01,Germany,DE,1.7
2019-01-01,Germany,DE,1.7
2019-02-01,Germany,DE,1.7
2019-03-01,Germany,DE,1.4
2019-04-01,Germany,DE,2.1
2019-05-01,Germany,DE,1.3
2019-06-01,Germany,DE,1.5
2019-07-01,Germany,DE,1.1
2019-08-01,Germany,DE,1.0
2019-09-01,Germany,DE,0.9
2019-10-01,Germany,DE,0.9
2019-11-01,Germany,DE,1.2
2019-12-01,Germany,DE,1.5
2020-01-01,Germany,DE,1.6
2020-02-01,Germany,DE,1.7
2020-03-01,Germany,DE,1.3
2020-04-01,Germany,DE,0.8
2020-05-01,Germany,DE,0.5
2020-06-01,Germany,DE,0.8
2020-07-01,Germany,DE,0.0
2020-08-01,Germany,DE,-0.1
2020-09-01,Germany,DE,-0.4
2020-10-01,Germany,DE,-0.5
2020-11-01,Germany,DE,-0.7
2020-12-01,Germany,DE,-0.7
2021-01-01,Germany,DE,1.6
2021-02-01,Germany,DE,1.6
2021-03-01,Germany,DE,2.0
2021-04-01,Germany,DE,2.1
2021-05-01,Germany,DE,2.4
2021-06-01,Germany,DE,2.1
2021-07-01,Germany,DE,3.1
2021-08-01,Germany,DE,3.4
2021-09-01,Germany,DE,4.1
2021-10-01,Germany,DE,4.6
2021-11-01,Germany,DE,6.0
2021-12-01,Germany,DE,5.7
2022-01-01,Germany,DE,5.1
2022-02-01,Germany,DE,5.5
2022-03-01,Germany,DE,7.6
2022-04-01,Germany,DE,7.8
2022-05-01,Germany,DE,8.7
2022-06-01,Germany,DE,8.2
2022-07-01,Germany,DE,8.5
2022-08-01,Germany,DE,8.8
2022-09-01,Germany,DE,10.9
2022-10-01,Germany,DE,11.6
2022-11-01,Germany,DE,11.3
2022-12-01,Germany,DE,9.6
2023-01-01,Germany,DE,9.2
2023-02-01,Germany,DE,9.3
2023-03-01,Germany,DE,7.8
2023-04-01,Germany,DE,7.6
2023-05-01,Germany,DE,6.3
2023-06-01,Germany,DE,6.8
2023-07-01,Germany,DE,6.5
2023-08-01,Germany,DE,6.4
2023-09-01,Germany,DE,4.3
2023-10-01,Germany,DE,3.0
2023-11-01,Germany,DE,2.3
2023-12-01,Germany,DE,3.8
2024-01-01,Germany,DE,3.1
2024-02-01,Germany,DE,2.7
2024-03-01,Germany,DE,2.3
2024-04-01,Germany,DE,2.4
2024-05-01,Germany,DE,2.8
2024-06-01,Germany,DE,2.5
2024-07-01,Germany,DE,2.6
2024-08-01,Germany,DE,2.0
2024-09-01,Germany,DE,1.8
2024-10-01,Germany,DE,2.4
2024-11-01,Germany,DE,2.4
2024-12-01,Germany,DE,2.8
2025-01-01,Germany,DE,2.8
2025-02-01,Germany,DE,2.6
2025-03-01,Germany,DE,2.3
2025-04-01,Germany,DE,2.2
2025-05-01,Germany,DE,2.1
2025-06-01,Germany,DE,2.0
2025-07-01,Germany,DE,1.8
2025-08-01,Germany,DE,2.1
2025-09-01,Germany,DE,2.4
2025-10-01,Germany,DE,2.3
2025-11-01,Germany,DE,2.6
2025-12-01,Germany,DE,2.0
2015-01-01,Latvia,LV,-0.3
2015-02-01,Latvia,LV,0.0
2015-03-01,Latvia,LV,0.5
2015-04-01,Latvia,LV,0.6
2015-05-01,Latvia,LV,1.2
2015-06-01,Latvia,LV,0.7
2015-07-01,Latvia,LV,-0.2
2015-08-01,Latvia,LV,0.2
2015-09-01,Latvia,LV,-0.4
2015-10-01,Latvia,LV,-0.1
2015-11-01,Latvia,LV,0.0
2015-12-01,Latvia,LV,0.4
2016-01-01,Latvia,LV,-0.3
2016-02-01,Latvia,LV,-0.6
2016-03-01,Latvia,LV,-0.6
2016-04-01,Latvia,LV,-0.7
2016-05-01,Latvia,LV,-0.8
2016-06-01,Latvia,LV,-0.6
2016-07-01,Latvia,LV,0.1
2016-08-01,Latvia,LV,-0.1
2016-09-01,Latvia,LV,0.5
2016-10-01,Latvia,LV,1.1
2016-11-01,Latvia,LV,1.2
2016-12-01,Latvia,LV,2.1
2017-01-01,Latvia,LV,2.9
2017-02-01,Latvia,LV,3.2
2017-03-01,Latvia,LV,3.3
2017-04-01,Latvia,LV,3.3
2017-05-01,Latvia,LV,2.7
2017-06-01,Latvia,LV,3.1
2017-07-01,Latvia,LV,2.6
2017-08-01,Latvia,LV,3.2
2017-09-01,Latvia,LV,3.0
2017-10-01,Latvia,LV,2.7
2017-11-01,Latvia,LV,2.7
2017-12-01,Latvia,LV,2.2
2018-01-01,Latvia,LV,2.0
2018-02-01,Latvia,LV,1.8
2018-03-01,Latvia,LV,2.3
2018-04-01,Latvia,LV,2.1
2018-05-01,Latvia,LV,2.4
2018-06-01,Latvia,LV,2.7
2018-07-01,Latvia,LV,2.7
2018-08-01,Latvia,LV,2.8
2018-09-01,Latvia,LV,3.3
2018-10-01,Latvia,LV,3.2
2018-11-01,Latvia,LV,2.9
2018-12-01,Latvia,LV,2.5
2019-01-01,Latvia,LV,2.9
2019-02-01,Latvia,LV,2.8
2019-03-01,Latvia,LV,2.7
2019-04-01,Latvia,LV,3.3
2019-05-01,Latvia,LV,3.5
2019-06-01,Latvia,LV,3.1
2019-07-01,Latvia,LV,3.0
2019-08-01,Latvia,LV,3.1
2019-09-01,Latvia,LV,2.3
2019-10-01,Latvia,LV,2.2
2019-11-01,Latvia,LV,2.0
2019-12-01,Latvia,LV,2.1
2020-01-01,Latvia,LV,2.2
2020-02-01,Latvia,LV,2.3
2020-03-01,Latvia,LV,1.4
2020-04-01,Latvia,LV,-0.1
2020-05-01,Latvia,LV,-0.9
2020-06-01,Latvia,LV,-1.1
2020-07-01,Latvia,LV,0.1
2020-08-01,Latvia,LV,-0.5
2020-09-01,Latvia,LV,-0.4
2020-10-01,Latvia,LV,-0.7
2020-11-01,Latvia,LV,-0.7
2020-12-01,Latvia,LV,-0.5
2021-01-01,Latvia,LV,-0.5
2021-02-01,Latvia,LV,-0.2
2021-03-01,Latvia,LV,0.3
2021-04-01,Latvia,LV,1.7
2021-05-01,Latvia,LV,2.6
2021-06-01,Latvia,LV,2.7
2021-07-01,Latvia,LV,2.8
2021-08-01,Latvia,LV,3.6
2021-09-01,Latvia,LV,4.7
2021-10-01,Latvia,LV,6.0
2021-11-01,Latvia,LV,7.4
2021-12-01,Latvia,LV,7.9
2022-01-01,Latvia,LV,7.5
2022-02-01,Latvia,LV,8.8
2022-03-01,Latvia,LV,11.5
2022-04-01,Latvia,LV,13.1
2022-05-01,Latvia,LV,16.8
2022-06-01,Latvia,LV,19.2
2022-07-01,Latvia,LV,21.3
2022-08-01,Latvia,LV,21.4
2022-09-01,Latvia,LV,22.0
2022-10-01,Latvia,LV,21.7
2022-11-01,Latvia,LV,21.7
2022-12-01,Latvia,LV,20.7
2023-01-01,Latvia,LV,21.4
2023-02-01,Latvia,LV,20.1
2023-03-01,Latvia,LV,17.2
2023-04-01,Latvia,LV,15.0
2023-05-01,Latvia,LV,12.3
2023-06-01,Latvia,LV,8.1
2023-07-01,Latvia,LV,6.6
2023-08-01,Latvia,LV,5.6
2023-09-01,Latvia,LV,3.6
2023-10-01,Latvia,LV,2.3
2023-11-01,Latvia,LV,1.1
2023-12-01,Latvia,LV,0.9
2024-01-01,Latvia,LV,1.1
2024-02-01,Latvia,LV,0.6
2024-03-01,Latvia,LV,1.0
2024-04-01,Latvia,LV,1.1
2024-05-01,Latvia,LV,0.0
2024-06-01,Latvia,LV,1.5
2024-07-01,Latvia,LV,0.8
2024-08-01,Latvia,LV,0.9
2024-09-01,Latvia,LV,1.6
2024-10-01,Latvia,LV,2.1
2024-11-01,Latvia,LV,2.3
2024-12-01,Latvia,LV,3.4
2025-01-01,Latvia,LV,3.1
2025-02-01,Latvia,LV,3.7
2025-03-01,Latvia,LV,3.5
2025-04-01,Latvia,LV,4.0
2025-05-01,Latvia,LV,3.7
2025-06-01,Latvia,LV,3.9
2025-07-01,Latvia,LV,3.9
2025-08-01,Latvia,LV,4.2
2025-09-01,Latvia,LV,4.2
2025-10-01,Latvia,LV,4.3
2025-11-01,Latvia,LV,3.8
2025-12-01,Latvia,LV,3.4
2015-01-01,Lithuania,LT,-1.4
2015-02-01,Lithuania,LT,-1.5
2015-03-01,Lithuania,LT,-1.1
2015-04-01,Lithuania,LT,-0.6
2015-05-01,Lithuania,LT,0.0
2015-06-01,Lithuania,LT,-0.2
2015-07-01,Lithuania,LT,-0.2
2015-08-01,Lithuania,LT,-1.0
2015-09-01,Lithuania,LT,-0.8
2015-10-01,Lithuania,LT,-0.4
2015-11-01,Lithuania,LT,-0.5
2015-12-01,Lithuania,LT,-0.2
2016-01-01,Lithuania,LT,0.7
2016-02-01,Lithuania,LT,0.5
2016-03-01,Lithuania,LT,0.8
2016-04-01,Lithuania,LT,0.8
2016-05-01,Lithuania,LT,0.2
2016-06-01,Lithuania,LT,0.4
2016-07-01,Lithuania,LT,0.0
2016-08-01,Lithuania,LT,0.5
2016-09-01,Lithuania,LT,0.6
2016-10-01,Lithuania,LT,0.7
2016-11-01,Lithuania,LT,1.1
2016-12-01,Lithuania,LT,2.0
2017-01-01,Lithuania,LT,2.5
2017-02-01,Lithuania,LT,3.2
2017-03-01,Lithuania,LT,3.2
2017-04-01,Lithuania,LT,3.5
2017-05-01,Lithuania,LT,3.2
2017-06-01,Lithuania,LT,3.5
